trip_id,starttime,stoptime,bikeid,tripduration,from_station_id,from_station_name,to_station_id,to_station_name,usertype,gender,birthyear
10419520,6/30/2016 17:17,6/30/2016 17:27,1331,585,71,Morgan St & Lake St,49,Dearborn St & Monroe St,Subscriber,Male,1973
10419403,6/30/2016 17:14,6/30/2016 17:38,3515,1422,174,Canal St & Madison St,144,Larrabee St & Webster Ave,Subscriber,Male,1986
10419295,6/30/2016 17:11,6/30/2016 17:23,307,673,331,Halsted St & Blackhawk St (*),58,Marshfield Ave & Cortland St,Subscriber,Male,1992
10419187,6/30/2016 17:09,6/30/2016 17:17,3084,471,322,Kimbark Ave & 53rd St,417,Cornell Ave & Hyde Park Blvd,Customer,,
10419070,6/30/2016 17:07,6/30/2016 17:09,817,152,115,Sheffield Ave & Wellington Ave,156,Clark St & Wellington Ave,Subscriber,Male,1990
10418965,6/30/2016 17:05,6/30/2016 17:22,2346,1047,85,Michigan Ave & Oak St,268,Lake Shore Dr & North Blvd,Customer,,
10418863,6/30/2016 17:02,6/30/2016 17:05,5598,169,198,Green St & Madison St,91,Clinton St & Washington Blvd,Subscriber,Male,1958
10418756,6/30/2016 16:59,6/30/2016 22:57,2426,21480,177,Theater on the Lake,43,Michigan Ave & Washington St,Customer,,
10418645,6/30/2016 16:56,6/30/2016 17:22,2762,1514,142,McClurg Ct & Erie St,156,Clark St & Wellington Ave,Subscriber,Female,1989
10418535,6/30/2016 16:54,6/30/2016 17:16,3990,1322,286,Franklin St & Quincy St,142,McClurg Ct & Erie St,Subscriber,Female,1968
10418430,6/30/2016 16:51,6/30/2016 17:33,4058,2530,147,Indiana Ave & 26th St,268,Lake Shore Dr & North Blvd,Customer,,
10418306,6/30/2016 16:48,6/30/2016 17:06,3751,1058,81,Daley Center Plaza,60,Dayton St & North Ave,Subscriber,Male,1984
10418192,6/30/2016 16:44,6/30/2016 16:50,3378,330,57,Clinton St & Roosevelt Rd,68,Clinton St & Tilden St,Subscriber,Male,1985
10418070,6/30/2016 16:41,6/30/2016 16:50,3484,551,460,Clark St & Bryn Mawr Ave,311,Leavitt St & Lawrence Ave,Subscriber,Male,1957
10417954,6/30/2016 16:36,6/30/2016 16:51,4843,856,50,Clark St & Congress Pkwy,338,Calumet Ave & 18th St,Subscriber,Male,1977
10417844,6/30/2016 16:33,6/30/2016 16:40,3399,434,58,Marshfield Ave & Cortland St,307,Southport Ave & Clybourn Ave,Subscriber,Female,1981
10417724,6/30/2016 16:29,6/30/2016 16:34,5377,335,284,Michigan Ave & Jackson Blvd,255,Indiana Ave & Roosevelt Rd,Subscriber,Female,1979
